,TripLength
0,5.2
1,5.6
2,13.9
3,8.6
4,9.3
5,15.3
6,4.2
7,5.0
8,5.0
9,11.2
10,33.4
11,20.5
12,57.6
13,7.6
14,11.2
15,15.9
16,29.3
17,13.1
18,5.0
19,6.0
20,1.9
21,64.9
22,54.9
23,145.0
24,16.0
25,37.0
26,26.2
27,10.8
28,7.2
29,1.9
30,2.2
31,15.9
32,31.5
33,11.0
34,2.3
35,7.1
36,171.7
37,6.0
38,3.0
39,15.9
40,6.9
41,4.2
42,26.3
43,32.6
44,10.9
45,10.5
46,60.9
47,21.2
48,11.6
49,16.8
50,81.1
51,5.1
52,39.0
53,11.0
54,3.7
55,4.88
56,57.4
57,11.1
58,19.72
59,24.1
60,15.8
61,4.4
62,20.8
63,7.1
64,36.3
65,22.6
66,11.4
67,7.6
68,11.2
69,4.4
70,65.2
71,145.1
72,1.1
73,11.6
74,37.4
75,12.5
76,56.3
77,16.0
78,8.4
79,32.1
80,7.6
81,3.3
82,7.1
83,5.0
84,19.72
85,14.2
86,35.0
87,4.1
88,7.4
89,5.0
90,4.5
91,11.0
92,9.0
93,6.0
94,5.2
95,7.2
96,5.0
97,27.0
98,36.1
99,5.0
100,16.4
101,7.6
102,29.7
103,59.4
104,26.67
105,7.6
106,7.6
107,106.98
108,13.4
109,21.8
110,38.4
111,11.2
112,86.0
113,15.1
114,14.6
115,36.7
116,3.8
117,40.9
118,23.0
119,11.8
120,26.5
121,49.9
122,8.5
123,68.9
124,6.7
125,23.0
126,11.0
127,33.02
128,22.7
129,3.8
130,24.2
131,17.4
132,11.0
133,1.9
134,15.5
135,5.6
136,15.9
137,6.8
138,6.8
139,20.5
140,10.9
141,2.6
142,31.3
143,62.4
144,7.6
145,7.6
146,6.0
147,6.0
148,8.6
149,2.6
150,65.2
151,2.3
152,13.3
153,30.3
154,9.1
155,11.4
156,4.0
157,5.7
158,18.5
159,14.6
160,25.5
161,19.4
162,16.0
163,7.1
164,4.4
165,11.9
166,9.9
167,50.0
168,26.8
169,19.4
170,14.7
171,16.0
172,4.8
173,76.6
174,34.7
175,11.4
176,24.0
